ProduktID;KatID;Bezeichnung;Umfang;Typ;Preis;Pflanzort;Pflanzabstand
21;MiGCHILI ;Chili „Vietnam - Landsorte“;6;2;4,00;Freiland;30 x 25 cm
22;StGCHINAKOHL ;Chinakohl „Granaat“;12;2;2,00;Freiland;35 x 25 cm
23;ScGERBSE ;Erbse, Markerbse „Lancet“;4m;1;3,00;Freiland;20 x 4 cm
24;ScGERBSE ;Erbse, Zuckererbse „Weggiser“;4m;1;3,00;Freiland;35 x 4 cm
25;ScGERBSE ;Erbse, Kapuzinererbse „Blauwschokker“;2x 4m;1;7,00;Freiland;35 x 3 cm
26;MiGFENCHEL ;"Fenchel, Knollenfenchel „Perfektion""";3x 12;1;4,00;Freiland;40 x 20 cm
27;StGGRÜNKOHL ;Grünkohl „Halbhoher Grüner Krauser“;3;2;2,00;Freiland;50 x 50 cm
28;StGGRÜNKOHL ;"Grünkohl ""Hoher roter Krauser“";3;2;2,00;Freiland;50 x 50 cm
29;StGGURKE ;Gurke, Einlegegurke „Vorgebirgstrauben“;4;2;1,50;Freiland;00 x 30 cm
30;StGGURKE ;Gurke, Salatgurke „Bono“;3;2;4,00;Freiland;00 x 30 cm
31;StGGURKE ;Gurke, Salatgurke „Persika“;3;2;2,00;Freiland;00 x 30 cm
32;MiGKOHLRABI ;Kohlrabi „Azur-Star“;5x 6;2;5,00;Freiland;30 x 25 cm
33;StGKÜRBIS ;Kürbis „Futsu Black“ Moschata-Kürbis;1;2;0,80;Freiland;0 x 100 cm
34;StGKÜRBIS ;Kürbis „Red Kuri“ Roter Hokkaido ;1;2;0,75;Freiland;0 x 100 cm
35;StGKÜRBIS ;Kürbis „Blue Ballet“;1;2;1,00;Freiland;0 x 100 cm
36;StGKÜRBIS ;Kürbis „Thelma Sanders Sweet Potato“;1;2;0,50;Freiland;0 x 100 cm
37;StGKÜRBIS ;Kürbis „Jack be little“;1;2;0,50;Freiland;0 x 100 cm
38;StGKÜRBIS ;Kürbis „Moschus Napolitaner“;1;2;0,50;Freiland;0 x 100 cm
39;StGLAUCH ;Lauch, Sommerporree „Hilari“;15;1;0,80;Freiland;30 x 15 cm
40;StGLAUCH ;Lauch , Herbstporree „Elefant“;10;1;1,00;Freiland;30 x 10 cm
41;StGLAUCH ;Lauch, Winterporree „Freezo“;20;1;1,20;Freiland;30 x 10 cm
42;MiGLAUCHZWIEBEL ;"Lauchzwiebel „Ischikrona""";2m;1;2,40;Freiland;5 x 2,5 cm
43;MiGLAUCHZWIEBEL ;Lauchzwiebel  „Long White“;2m;1;2,30;Freiland;40 x 5 cm
44;ScGMAIRÜBE ;"Mairübe ""Blanc globe à collet violet""";10;2;4,00;Freiland;20 x 5 cm
45;MiGMANGOLD ;Mangold „Bright Lights“;1m;1;2,00;Freiland;50 x 20 cm
46;StGMELONE ;Melone, Honigmelone „Ananas“;2;3;8,00;Freiland;80 x 80 cm
47;StGMELONE ;Melone, Honigmelone „Petit gris de Rennes“;2;3;9,00;Freiland;100x 50 cm
48;MiGMÖHRE ;"Möhre „Milan""";2x 4m;1;4,50;Freiland;35 x 3 cm
49;MiGMÖHRE ;Möhre „Colorada“;2x 2m;1;3,80;Freiland;30 x 5 cm
50;MiGMÖHRE ;Möhre „Bunte Mischung“;4m;1;5,60;Freiland;30 x 8 cm
51;StGPALMKOHL ;Palmkohl „Negro Romano“;5;2;2,00;Freiland;50 x 50 cm
52;MiGPAPRIKA ;Paprika „Runde Ungarische“;4;2;4,00;Freiland;60 x 60 cm
53;MiGPAPRIKA ;Paprika „Sweet Banana“;4;2;5,00;Freiland;50 x 40 cm
54;MiGPAPRIKA ;Paprika „Pusztagold“;4;2;5,00;Freiland;40 x 50 cm
55;MiGPASTINAKE ;Pastinake „Tender and True“;2x 2m;1;5,00;Freiland;30 x 8 cm
56;MiGPFEFFERONI ;"Pfefferoni „Taeyang medium"" ";4;2;7,00;Freiland;50 x 40 cm
57;ScGRADIESCHEN ;"Radieschen ""Flamboyant 2“";3x 2m;1;8,00;Freiland;20 x 3 cm
58;ScGRADIESCHEN ;Radieschen „De dix-huit-jours (18 Tage)“;3x 2m;1;8,00;Freiland;20 x 3 cm
59;MiGRETTICH ;"Rettich „Daikon""";10;2;3,00;Freiland;40 x 10 cm
60;StGROSENKOHL ;Rosenkohl „Rubine“;4;2;0,50;Freiland;50 x 50 cm
61;StGROSENKOHL ;Rosenkohl „Groninger“;4;2;8,00;Freiland;50 x 50 cm
62;StGROTKOHL ;Rotkohl „Langedijker Lager 2“;10;2;4,00;Freiland;40 x 50 cm
63;MiGSALAT ;Salat, Eissalat „Laibacher Eis“;2x 6;1;4,50;Freiland;30 x 30 cm
64;MiGSALAT ;Salat, Eissalat „ Rossia“;2x 6;1;4,50;Freiland;30 x 30 cm
65;MiGSALAT ;Salat, Schnittsalat „Red Velvet“;6;2;4,50;Freiland;30 x 30 cm
66;MiGSALAT ;Salat, Römersalat „Teufelsohren“;10;2;3,00;Freiland;30 x 30 cm
67;MiGSALAT ;Salat, Radicchio „Palla Rossa“;10;2;3,50;Freiland / Gewächshaus;30 x 30 cm
68;MiGSALAT ;Salat, Asiasalatmischung „Oriental Mix“;1m;1;6,00;Freiland / Gewächshaus;15 x 3 cm
69;ScGSALAT ;Salat, Feldsalat „Kölner Palm“;2m;1;2,00;Freiland;15 x 2 cm
70;ScGSALAT ;Salat, Feldsalat „Elan“;2m;1;8,00;Gewächshaus;15 x 1 cm
71;ScGSALAT ;Salat, Postelein;2m;1;4,00;Gewächshaus;10 x 2 cm
72;ScGSALAT ;Salat, Wilde Rauke;2m;1;2,00;Freiland;20 x 2 cm
73;ScGSALAT ;Salat, Salatrauke;2m;1;3,00;Freiland;25 x 2 cm
74;StGSELLERIE ;"Sellerie, Knollensellerie ""Ibis""";6;2;3,00;Freiland;40 x 40 cm
75;StGSELLERIE ;"Sellerie, Knollensellerie ""Monarch""";6;2;7,00;Freiland;40 x 40 cm
76;StGSELLERIE ;"Sellerie, Stangensellerie ""Tall Utah“";1m;1;4,00;Freiland;40 x 40 cm
77;StGSELLERIE ;"Sellerie, Stangensellerie ""Roter Stiel“";1m;1;2,00;Freiland;35 x 30 cm
78;MiGSPINAT ;Spinat „Butterfly“;Einstreuer;1;2,00;Freiland;20 x 5 cm
79;MiGSPINAT ;Spinat „Matador“;Einstreuer;1;1,50;Freiland;30 x 3 cm
80;MiGSCHWARZWURZEL ;Schwarzwurzel „Hoffmanns schwarze Pfahl“;4m;1;4,00;Freiland;30 x 5 cm
81;StGTOMATE ;Tomate, Cocktailtomate „Black Cherry“;3;2;2,00;Gewächshaus;3-4 Pfl / qm
82;StGTOMATE ;Tomate, Cocktailtomate „Vesennij Mieurinskij“;3;2;5,00;Gewächshaus;3-4 Pfl / qm
83;StGTOMATE ;Tomate, Cocktailtomate „Kleine Gelbe aus Estland“;1;2;0,80;Gewächshaus;3-4 Pfl / qm
84;StGTOMATE ;Tomate, Fleischtomate „Schwarze Russische“;3;2;0,75;Gewächshaus;3-4 Pfl / qm
85;StGTOMATE ;Tomate, Fleischtomate „Marmande“;3;2;1,00;Gewächshaus;3-4 Pfl / qm
86;StGTOMATE ;Tomate, Fleischtomate „Riesentomate Ananas“;3;2;0,50;Gewächshaus;3-4 Pfl / qm
87;StGTOMATE ;Tomate, Fleischtomate „Liguria“;1;2;0,50;Gewächshaus;3-4 Pfl / qm
88;StGTOMATE ;Tomate, Fleischtomate „Tschernij Prinz“;2;2;0,50;Gewächshaus;3-4 Pfl / qm
89;StGTOMATE ;Tomate, Fleischtomate „Berner Rose“;1;2;0,80;Gewächshaus;3-4 Pfl / qm
90;StGTOMATE ;Tomate, Fleischtomate „Paprikaförmige“;5;2;1,00;Freiland / Gewächshaus;80 x 80 cm
91;StGTOMATE ;Tomate, Salattomate „Friesje“;2;2;1,20;Gewächshaus;3-4 Pfl / qm
92;StGTOMATE ;Tomate, Salattomate „Anamar“;2;2;2,40;Freiland;80 x 80 cm
93;StGTOMATE ;Tomate, Cocktailtomate „Celsior“;2;2;2,30;Freiland;80 x 80 cm
94;StGTOMATE ;Tomate, Wildtomate „Schmucktomate“;1;2;4,00;Freiland;80 x 80 cm
95;StGTOMATE ;Tomate, Wildtomate „Rote Murmel“;1;2;2,00;Freiland;0 x 100 cm
96;StGTOMATE ;Tomate, Wildtomate „Golden Currant“;1;2;8,00;Freiland;0 x 100 cm
97;StGTOMATE ;Tomate, Cocktailtomate „Yellow Submarine“;2;2;9,00;Freiland;00 x 50 cm
98;StGTOMATE ;Tomate, Cocktailtomate „Sibirisches Birnchen“;2;2;4,50;Freiland;80 x 80 cm
99;StGWEIßKOHL ;Weißkohl „Ruhm von Enkhuizen 2“;10;2;3,80;Freiland;50 x 50 cm
100;StGWIRSING ;Wirsing „Violaceo di Verona“;6;2;5,60;Freiland;50 x 40 cm
101;StGZUCCHINI ;Zucchini „Cocozelle von Tripolis“;2;2;2,00;Freiland;00 x 80 cm
102;StGZUCCHINI ;Zucchini „Costates Romanesco“;2;2;4,00;Freiland;00 x 80 cm
103;StGZUCKERMAIS ;Zuckermais „Golden Bantam“;20;1;5,00;Freiland;50 x 20 cm
104;ScKBASILIKUM ;Basilikum, Thai-Basilikum;6;3;5,00;Freiland / Gewächshaus;25 x 25 cm
105;ScKBASILIKUM ;Basilikum, Buschbasilikum;4;3;5,00;Freiland / Gewächshaus;25 x 25 cm
106;ScKBASILIKUM ;Basilikum, Strauchbasilikum großblättrig;6;3;7,00;Freiland / Gewächshaus;25 x 25 cm
107;ScKBASILIKUM ;Basilikum, Strauchbasilikum rotblättrig;6;3;8,00;Freiland / Gewächshaus;25 x 25 cm
108;ScKBRUNNENKRESSE;Brunnenkresse;6;1;8,00;Freiland / Container;30 x 10 cm
109;ScKDILL ;"Dill ""Tetra""";2x 10;3;3,00;Freiland;30 x 10 cm
110;ScKKORIANDER;Koriander;3x 8;3;0,50;Freiland;30 x 10 cm
111;ScKKNOBLAUCHSRAUKE;Knoblauchsrauke;3;3;8,00;Freiland;20 x 5 cm
112;ScKLAUCH-HELLERKRAUT;Lauch-Hellerkraut;3;3;4,00;Freiland;15 x 5 cm
113;MiKPETERSILIE ;Petersilie ‚Einfacher Schnitt‘;8;3;4,50;Freiland;25 x 5 cm
114;StPKARTOFFEL ;Kartoffel, Anuschka (sehr früh, festkochend);2,5 kg;1;4,50;Kartoffelbeet;30 x 60 cm
115;StPKARTOFFEL ;Kartoffel, Ditta (mittelfrüh, festkochend);2,5 kg;1;4,50;Kartoffelbeet;35 x 70 cm
116;StPKARTOFFEL ;Kartoffel, Setanta (mittelfrüh, mehlig);2 kg;1;3,00;Kartoffelbeet;35 x 70 cm
117;StPKARTOFFEL ;Kartoffel, Arran Victory (sehr spät, mehlig);1 kg;1;3,50;Kartoffelbeet;35 x 70 cm
118;StPKARTOFFEL ;Kartoffel, Rosa Tannenzapfen (sehr spät, festkochend);2 kg;1;6,00;Kartoffelbeet;35 x 70 cm
119;MiPKNOBLAUCH ;"Knoblauch „Morado""";200 g;2;2,00;Freiland;30 x 15 cm
120;MiPKNOLLIGER ;Knolliger Sauerklee „Oca“;10;1;8,00;Freiland;40 x 40 cm
121;MiPSCHALOTTE ;"Schalotte, Steckzwiebel Gourmet Schalotte „Longor""";250g;1;4,00;Freiland;30 x 15 cm
122;StPSÜßKARTOFFEL ;"Süßkartoffel ""Erato® Orange“";4;1;2,00;Freiland;40 x 30 cm
123;StPSÜßKARTOFFEL ;"Süßkartoffel „Beauregard""";4;1;3,00;Freiland;40 x 30 cm
124;ScPTOPINAMBUR ;"Topinambur ""Violet de Rennes“";12;1;3,00;Freiland;60 x 40 cm
125;MiPZWIEBEL ;"Zwiebel, Steckzwiebel ""Red Baron“";250g;1;7,00;Freiland;30 x 10 cm
126;MiPZWIEBEL ;"Zwiebel, Steckzwiebel ""Sturon""";1kg;1;4,00;Freiland;30 x 10 cm
