LieferDienstID;Name;Telefon;Fax;Email;Strasse;Hausnummer;Plz;Ort;Land
47;Pfund UG;02842/14437184;02842/78544871;p_29@email.none;Homburger Straße;161;47475;Kamp-Lintfort;Nordrhein-Westfalen
48;Stierle KGaA;06062/48845203;06062/75113092;elfi-fletcher@trashmail.none;Kölner Landstraße;20;64756;Mossautal;Hessen
50;Niermann GmbH & Co. KG;06134/7741902;06134/24502672;apechmann@live-mail.none;Im Münchfeld;46;65462;Ginsheim-Gustavsburg;Hessen
51;Zittlau GbR;02851/34196181;02851/22850544;kristian_riechmann@xyz.none;Auf der Erdmaar;126;46459;Rees;Nordrhein-Westfalen
52;Neuoh GmbH;05807/86920665;05807/75178869;siegmar_ohlig@kitty.none;Lohmühle;120;29575;Altenmedingen;Niedersachsen
53;Beier und Rathmann KG;05942/30334743;05942/21631840;damaris_1990@trashmail.none;Karnaper Straße;22;49843;Getelo;Niedersachsen
54;Saile KG;05271/7001688;05271/96234924;gangolfattenberger@inter-mail.none;Lohberg;176;37697;Lauenförde;
55;Cobb OHG;02661/46998938;02661/9440892;akowalski@funmail.none;Hommersbergstraße;138b;56470;Bad Marienberg;Rheinland-Pfalz
56;Heining und Gentner GbR;05335/1658130;;godelind_gentner@spam-mail.none;Ottostraße;125;38315;Schladen;Niedersachsen
57;Bbod OHG;05405/50366070;05405/46703889;hugobodenmueller@trashmail.none;Johann-Wilhelm-Roth-Straße;101;49205;Hasbergen;Niedersachsen
58;Pehume AG;06257/27376092;;kaethchenmetzdorf@inter-mail.none;Siegfriedstraße;9;64404;Bickenbach;Hessen
59;Kauer und Wisniewski GmbH;04847/58789303;04847/82417838;sigward_wisniewski@private.none;Im Hanfgarten;35;25885;Ahrenviölfeld;
60;Weyrich UG;05366/90386631;05366/79400930;joanaetzel@anymail.none;Dautenstielweg;76;38473;Tiddische;Niedersachsen
61;Aac AG;04862/65847671;;reinaldachenbach@email.none;Schmittenstraße;113;25832;Kotzenbüll;Schleswig-Holstein
62;Burg GmbH & Co. KG;09574/40736503;09574/87744556;h-jost@net-mail.none;Buscherbahn;88;96257;Redwitz an der Rodach;Bayern
63;Riederer KG;09964/15379471;09964/89939739;thilo.hessler@funmail.none;St. Margarethenstraße;66;94372;Rattiszell;Bayern
64;Sm AG;02684/41169738;02684/31714203;e29@email.none;Am Neray;67;57639;Oberdreis;Rheinland-Pfalz
65;Kliemann KGaA;04462/34526811;04462/29742430;carlotta.kliemann@spam-mail.none;Wacholderweg;81;26409;Wittmund;Niedersachsen
66;Blafin GmbH;05251/35559499;05251/39284441;margitta03@inter-mail.none;Römerweg;67;33104;Paderborn;Nordrhein-Westfalen
67;Bolduan UG;05232/36030703;05232/5692428;benedicta-blankenburg@inter-mail.none;Keltenstraße;82;32791;Lage;Nordrhein-Westfalen
68;Maibaum GmbH & Co. KG;02163/42006347;02163/41157657;rochusbrosig@company.none;Hilchenbacher Straße;62;41372;Niederkrüchten;Nordrhein-Westfalen
69;Langohr und Skupin KG;09943/83704946;09943/74226951;sylvio.skupin@private.none;Seifenstraße;47;93474;Arrach;Bayern
70;Horub OHG;06243/64530891;06243/96938420;lina-baas@justmail.none;Am Brasberg;162;67592;Flörsheim-Dalsheim;Rheinland-Pfalz
71;Leyh OHG;0651/10247182;0651/44869967;helmtraut.23@net-mail.none;Hoogeweg;77;54316;Schöndorf;Rheinland-Pfalz
72;Sündermann GmbH;03866/90508856;03866/33114247;hansjakobsontheimer@goggle-mail.none;Im Baumgarten;194;19067;Cambs;Mecklenburg-Vorpommern
73;Benja OHG;0201/18521291;0201/75822057;l-1916@anymail.none;Am Oberbach;180;45143;Essen;Nordrhein-Westfalen
74;Stärk und Denker UG;07128/70772105;07128/9461792;gunther.39@xyz.none;An den Höfen;49 c;72820;Sonnenbühl;Baden-Württemberg
75;Schmidhuber KGaA;06344/71986922;;wolfeckart.1977@validmail.none;Klosterhöhe;147;67361;Freisbach;Rheinland-Pfalz
76;Frnü AG;07744/95197348;07744/30617300;g-nuebel@validmail.none;Offerkämpe;198;79780;Stühlingen;Baden-Württemberg
77;Farmer UG;04681/20181607;;joachim_sachse@inter-mail.none;Bildstöckleweg;15;25938;Alkersum;
78;Gilles GmbH & Co. KG;0281/79016326;0281/61113319;christopherjaenicke@funmail.none;Haus-Berge-Straße;1;46483;Wesel am Rhein;
79;Klie GbR;05657/36025438;05657/67531676;w.1970@justmail.none;Sonnenau;183;37297;Berkatal;Hessen
80;Adrusch GmbH;02671/55542840;02671/24418949;hansgeorgscharl@quickmail.none;Müssingen;110;56812;Dohr;
81;Brabas OHG;07732/12225060;07732/83324109;evabasse@web.none;Angstweg;160;78315;Radolfzell am Bodensee;Baden-Württemberg
82;Grigo KG;08024/94877480;08024/91629880;agnes24@trashmail.none;Weitscheidter Straße;141;83626;Valley;Bayern
